Country,Price EUR/L,Distance
Venezuela ,0.017,49020
Iran ,0.050,16667
Angola ,0.211,3949
Algeria*,0.287,2904
Kuwait*,0.294,2834
Nigeria ,0.338,2465
Turkmenistan ,0.360,2315
Kazakhstan ,0.376,2216
Ethiopia ,0.407,2048
Malaysia*,0.409,2037
Iraq ,0.432,1929
Bahrain ,0.447,1864
Bolivia*,0.456,1827
Haiti ,0.478,1743
Egypt*,0.482,1729
Ecuador*,0.486,1715
Qatar*,0.486,1715
Colombia*,0.489,1704
Azerbaijan ,0.495,1684
Oman*,0.518,1609
Saudi Arabia*,0.523,1593
Sudan ,0.525,1587
United Arab Emirates*,0.566,1472
Kyrgyzstan*,0.575,1449
Russia*,0.576,1447
Suriname*,0.590,1412
Pakistan*,0.616,1353
Uzbekistan ,0.618,1348
Indonesia*,0.623,1338
Burma*,0.631,1321
Tunisia*,0.632,1319
Liberia ,0.647,1288
Afghanistan*,0.663,1257
Belarus*,0.685,1217
Trinidad & Tobago ,0.712,1170
Puerto Rico*,0.755,1104
Swaziland ,0.766,1088
Namibia*,0.766,1088
Benin*,0.769,1084
Togo*,0.769,1084
Zambia*,0.770,1082
Dominica ,0.773,1078
Sri Lanka*,0.775,1075
Guinea ,0.776,1074
Bhutan ,0.776,1074
Syria ,0.777,1073
Sierra Leone*,0.780,1068
USA*,0.785,1062
Panama*,0.785,1062
Turkey*,0.788,1058
Botswana ,0.788,1058
Chad ,0.789,1056
Vietnam*,0.804,1036
Guatemala*,0.805,1035
Guyana*,0.817,1020
Mozambique*,0.827,1008
Lesotho*,0.835,998
Argentina*,0.838,994
Georgia*,0.838,994
DR Congo ,0.844,987
Peru*,0.867,961
Tanzania*,0.872,956
Bahamas*,0.874,953
Paraguay ,0.878,949
Cambodia*,0.878,949
Bangladesh ,0.882,945
El Salvador*,0.882,945
Madagascar*,0.903,923
Nepal*,0.904,922
Rwanda*,0.908,918
Taiwan*,0.911,915
Ghana*,0.917,909
Gabon ,0.922,904
Malawi*,0.930,896
Ivory Coast*,0.937,889
Burkina Faso*,0.937,889
Mexico*,0.937,889
Australia*,0.941,886
Brazil*,0.947,880
Ukraine*,0.947,880
Saint Lucia*,0.956,872
Thailand*,0.958,870
Cameroon*,0.960,868
Moldova*,0.960,868
Nicaragua*,0.961,867
Honduras*,0.962,866
China*,0.988,843
Fiji*,0.991,841
Morocco ,0.994,838
Kenya*,0.999,834
Uganda ,1.002,832
Mauritius*,1.004,830
Cuba ,1.010,825
Dominican Republic*,1.011,824
Costa Rica*,1.015,821
Burundi ,1.017,819
Philippines*,1.019,818
Mali ,1.022,815
South Africa*,1.047,796
Jamaica*,1.060,786
Curacao ,1.069,780
Chile*,1.071,778
Canada*,1.072,777
Aruba*,1.079,772
Cayman Islands*,1.096,760
Bulgaria*,1.101,757
Laos*,1.106,753
Grenada*,1.121,743
Bosnia & Herz.*,1.129,738
Zimbabwe*,1.137,733
Northern Macedonia*,1.153,723
India*,1.174,710
Senegal ,1.181,706
Albania ,1.192,699
Japan*,1.195,697
Cape Verde*,1.202,693
Romania*,1.207,690
South Korea*,1.216,685
Seychelles ,1.218,684
Andorra*,1.232,676
Poland*,1.257,663
Slovenia*,1.268,657
Hungary*,1.269,657
Jordan*,1.271,656
Belize*,1.283,650
Lithuania*,1.296,643
Cyprus*,1.301,641
Czech Republic*,1.324,629
Austria*,1.329,627
Latvia*,1.336,624
Malta*,1.340,622
Luxembourg*,1.355,615
Uruguay*,1.364,611
Serbia*,1.377,605
Montenegro*,1.380,604
New Zealand*,1.395,597
Croatia*,1.411,591
Spain*,1.413,590
Slovakia*,1.425,585
Yemen ,1.431,582
Estonia*,1.434,581
Wallis and Futuna*,1.437,580
Switzerland*,1.507,553
Liechtenstein ,1.508,553
Belgium*,1.509,552
Singapore*,1.521,548
Germany*,1.527,546
Ireland*,1.538,542
San Marino ,1.543,540
Mayotte*,1.550,538
France*,1.568,531
United Kingdom*,1.583,526
Sweden*,1.642,508
Italy*,1.651,505
Barbados*,1.662,501
Monaco ,1.674,498
Portugal*,1.677,497
Iceland*,1.687,494
Greece*,1.690,493
Finland*,1.700,490
Denmark*,1.703,489
Israel*,1.716,486
Norway*,1.731,481
Central African Rep. ,1.828,456
Netherlands*,1.829,456
Lebanon*,2.102,396
Hong Kong*,2.154,387
